id,nature,X,Y
1827,Misc,649499.2071960,6858393.4448134
1828,"Industrial, agricultural or commercial",649451.9669873,6858740.9497320
1829,Misc,649636.4444867,6858710.2850444
1830,Misc,649680.7273665,6858305.4883736
1831,Misc,649502.3570471,6858602.6661338
1832,Misc,649657.9165300,6858532.4496348
1833,Misc,649448.8713184,6858643.3978813
1834,Misc,649711.8274448,6858497.6557418
1835,Misc,649624.3228160,6858520.7072888
1836,Misc,649531.5077599,6858572.8353719
1837,Misc,649568.5844574,6858563.0008710
1838,Misc,649576.4597738,6858623.8299336
1839,Misc,649581.7128248,6858880.5590890
1840,Misc,649561.6489755,6858753.0143344
1841,Misc,649567.2957343,6858788.6550356
1842,Misc,649563.7753247,6858797.9613276
1843,Misc,649556.9402075,6858800.1091224
1844,Misc,649551.5147518,6858733.2026342
1845,Misc,650397.6440785,6859011.9107094
1846,Misc,650385.7540984,6859001.2693989
1847,Misc,650387.0403239,6859128.4288113
1848,Misc,650399.4000000,6859119.6333333
1849,Misc,650388.0000000,6859182.1000000
1850,Misc,650440.4644444,6859283.5333333
1851,Misc,650486.5153497,6858877.1009991
1852,Misc,650400.1649269,6858543.6180237
1853,Misc,649767.5215034,6858806.7473403
1854,Misc,650091.3079365,6859238.9945326
1855,Misc,650547.9698554,6858019.0935096
1856,Misc,650534.6059121,6859299.0774175
1857,Misc,650038.0285751,6859577.8964589
1858,Misc,650086.3971910,6859242.4773408
1859,Misc,650055.6156930,6859292.7764032
1860,Misc,650003.8122807,6859229.7666667
1861,Misc,650030.3069767,6859566.7823820
1862,Misc,650094.5561763,6859268.1588827
1863,Misc,650069.0344872,6859327.0876722
1864,Misc,650387.7850877,6859382.7745614
1865,Misc,650472.0584127,6859330.0971429
1866,Misc,650367.4139007,6859233.6682270
1867,Misc,650382.1500000,6859266.5500000
1868,Misc,650631.7115751,6859381.9236776
1869,Misc,649987.2000000,6862494.7000000
1870,Misc,650211.6299460,6861661.5207049
1871,Misc,648240.1340278,6860906.3243056
1872,Misc,650814.3651451,6860756.0909721
1873,Misc,650758.1052297,6860812.8606879
1874,Misc,650352.8768804,6860847.6179492
1875,Misc,649036.7289030,6861088.9111814
1876,Misc,649166.1175775,6861287.5821868
1877,Misc,649428.5860335,6861170.8637188
1878,Misc,649443.4733885,6861174.9652572
1879,Misc,649439.4785081,6861113.1395991
1880,Misc,649287.6357331,6861291.4957665
1881,Misc,649277.5513588,6861265.3848308
1882,Misc,649294.8159574,6861281.4259895
1883,Misc,649259.5343523,6861293.7545852
1884,Misc,649650.4500000,6860559.1000000
1885,Misc,651834.2159892,6861111.3368040
1886,Misc,651620.2560000,6861217.2120000
1887,Misc,648393.3994811,6858950.0340805
1888,Misc,651270.4241385,6861543.5009979
1889,Misc,650210.6491231,6861244.0623325
1890,Misc,649663.2344633,6860521.1214689
1891,Misc,649555.2121602,6860523.3836910
1892,Misc,649658.7546099,6860534.9304965
1893,Misc,649265.2500000,6860547.0000000
1894,Misc,651168.8857404,6860556.4259489
1895,Misc,651160.3876547,6860551.4641180
1896,Misc,651160.1732016,6860515.6975429
1897,Misc,651128.4953099,6860579.3257119
1898,Misc,651527.7011417,6860494.1858492
1899,Misc,651166.9434771,6860644.2890268
1900,"Industrial, agricultural or commercial",650358.6944820,6860562.5567023
1901,Misc,648338.2788401,6859747.8460893
1902,Misc,648376.0500000,6860413.9000000
1903,Misc,648364.5663369,6860064.7532155
1904,Misc,648363.1121101,6860137.9863436
1905,Misc,648363.5463000,6860147.5344941
1906,Misc,648182.0703975,6859343.8300495
1907,Misc,648350.3875838,6859047.8456871
1908,Misc,648984.2928865,6860066.6084781
1909,Misc,648988.7297311,6859252.3365633
1910,Misc,649807.1506778,6858493.7173391
1911,Misc,649735.9197375,6858554.6428346
1912,Misc,649788.8284994,6858452.3449694
1913,Misc,649811.4035324,6858751.7451330
1914,Misc,649772.8768731,6858803.8853616
1915,Misc,649770.8582631,6858486.2097494
1916,Misc,649740.8912706,6858490.5185829
1917,Misc,649795.2525123,6858940.1331699
1918,Misc,649781.4417083,6858539.9502966
1919,Misc,649787.2986009,6858284.1566938
1920,Misc,648693.5593220,6860011.4853107
1921,Misc,648483.3798548,6860100.8174664
1922,Misc,648661.6666667,6860049.6873874
1923,Misc,648681.3066482,6860073.0564695
1924,Misc,648746.7926009,6860108.7752884
1925,Misc,649936.0597620,6861156.8354424
1926,Misc,648271.8500000,6860833.7000000
1927,Misc,648599.1905350,6860814.8634774
1928,Misc,648383.4000000,6860694.7000000
1929,Misc,648111.4968750,6860666.5947917
1930,Misc,648112.5317149,6860783.5126190
1931,Misc,648485.4500000,6860681.2000000
1932,Misc,648335.2555228,6860819.7679921
1933,Misc,649684.4500000,6860564.0500000
1934,Misc,648749.1148011,6860801.6569184
1935,Misc,649690.5545455,6860548.6812121
1936,Misc,649775.7801636,6860592.1335378
1937,Misc,649801.3688719,6860534.5324852
1938,Misc,649711.2640380,6860563.9578125
1939,Misc,650168.2601114,6860624.8871565
1940,Misc,649924.0067525,6860478.4670823
1941,Misc,649667.3500000,6860510.5000000
1942,Misc,649746.8449909,6860342.7693989
1943,Misc,649788.6618652,6860371.5990766
1944,Misc,649413.7817220,6860245.7881438
1945,Misc,650016.9542099,6859618.2280277
1946,Misc,650077.7171171,6859667.5432432
1947,Misc,650080.8500000,6859666.2000000
1948,Misc,650110.6979473,6859942.5704916
1949,Misc,650088.7135761,6859782.2604630
1950,Misc,649860.2365410,6860261.0952319
1951,Misc,649727.0235699,6859944.1483216
1952,Misc,650415.0000000,6859723.2000000
1953,Misc,650503.2078431,6859653.4666667
1954,Tower,650432.6445175,6859966.7163378
1955,Misc,649000.5899773,6860465.6279257
1956,Misc,648918.3635417,6860504.7479167
1957,Misc,648985.8169996,6860462.6153129
1958,Misc,649108.3619444,6860449.6308333
1959,Misc,649033.7500000,6860454.9500000
1960,Misc,649451.3666667,6860453.1134752
1961,Misc,649198.6000000,6860241.2333333
1962,Misc,648642.3500000,6858747.2000000
1963,Misc,649477.8484848,6860256.9846465
1964,Misc,649275.0147036,6860330.0834288
1965,Misc,649467.9770801,6860243.9503890
1966,Misc,649492.9956250,6860207.1003669
1967,Misc,649213.3500000,6860233.7500000
1968,Misc,649056.1780529,6860238.2748276
1969,Misc,649311.9401900,6860283.2721433
1970,Misc,648589.9048900,6858785.1663037
1971,Misc,648649.1167679,6858903.9658122
1972,Misc,649506.3479188,6860257.4641286
1973,Misc,650750.8832392,6860289.7988438
1974,Misc,651018.0604878,6860415.9656059
1975,Misc,651205.0752318,6860367.5678587
1976,Misc,648489.2353383,6860271.0167084
1977,Misc,648727.1166830,6859622.1840436
1978,Misc,648730.9715892,6859617.3146655
1979,Misc,648734.1562857,6859354.6365492
1980,Misc,648597.3390859,6858883.4479362
1981,Misc,648763.8495841,6858787.0742826
1982,Misc,648654.5171377,6858867.6978386
1983,Misc,648673.1884416,6858933.0547649
1984,Misc,648645.5953586,6858756.1805907
1985,Misc,648648.9883334,6858788.1792199
1986,Misc,648672.1541132,6858896.5507686
1987,Misc,648482.2257956,6858918.2697376
1988,Misc,648616.9040879,6858804.9717084
1989,Misc,648447.3327729,6858738.1003540
1990,Misc,648591.3680835,6858682.5685421
1991,Misc,648602.8422535,6858920.0107981
1992,Stand,648518.8098445,6858716.6835113
1993,Misc,648672.4181615,6858695.6562242
1994,Misc,648707.7096399,6858800.5808318
1995,Misc,648625.7184830,6858912.0348641
1996,Misc,648621.6143609,6858951.3998241
1997,Misc,648549.6314078,6858843.6000724
1998,Misc,648671.8500000,6858897.2500000
1999,Misc,648602.2056161,6858920.6804597
2000,Misc,648725.4964456,6858748.4083181
2001,Misc,648721.5721359,6858777.7942734
2002,Misc,648600.3750353,6859088.2235377
2003,Misc,648609.3962368,6858718.0174509
2004,Misc,648606.2531888,6861767.2764059
2005,Misc,648625.9849262,6861786.4139083
2006,Misc,648536.5742658,6861909.2794591
2007,Misc,648516.7302083,6861916.8937500
2008,Misc,648567.0333879,6861873.9495222
2009,"Industrial, agricultural or commercial",648580.7455337,6861460.8756596
2010,Misc,648505.0000000,6861937.5500000
2011,Misc,648588.0399202,6861960.2344181
2012,Misc,648589.7023825,6861402.5128585
2013,Misc,649243.9062552,6862170.8602244
2014,Misc,649537.8296020,6862693.3524187
2015,"Industrial, agricultural or commercial",650142.4073606,6866692.4245975
2016,Misc,648596.2189969,6862749.4689747
2017,Misc,648588.0207711,6862470.2570435
2018,Misc,648597.6434457,6862368.8202247
2019,Misc,648618.4563900,6862368.7884717
2020,Misc,648590.0729730,6862204.2981982
2021,Misc,648572.0968290,6862425.6102680
2022,Misc,648593.6918898,6862360.6361942
2023,Misc,648645.1481080,6862616.8221062
2024,Misc,648647.4833498,6862666.2660231
2025,Misc,649331.2107683,6862762.9861878
2026,Misc,648867.5230482,6862673.3677862
2027,Misc,648875.6658368,6862601.1326418
2028,Misc,649658.4655450,6862776.7364217
2029,Misc,649611.8542113,6862788.0505360
2030,Misc,649019.2358974,6862658.2743590
2031,Misc,649787.5044161,6862631.2805879
2032,Misc,649532.0683138,6862661.7612152
2033,Misc,649609.6844097,6862775.4818433
2034,Misc,649657.5752381,6862789.2590476
2035,Misc,649773.6366901,6862726.6367019
2036,Misc,648784.2197443,6861717.5023192
2037,Misc,648777.7310754,6861497.9538397
2038,Misc,648772.1119028,6861094.6114440
2039,Misc,648796.9527909,6861217.5322052
2040,Misc,648816.9296399,6861103.3642659
2041,Misc,648796.3365988,6861079.4230512
2042,Misc,648769.0366303,6861087.6863928
2043,Misc,648816.6891123,6862263.4030368
2044,Misc,648774.8803257,6862602.2238366
2045,Misc,648816.3434783,6862127.2188406
2046,Misc,648773.5241995,6862632.9055190
2047,Misc,648787.6018605,6862440.1294574
2048,Misc,648435.7681348,6860531.1771748
2049,Misc,648488.6683380,6860331.6579387
2050,Misc,648455.4241107,6860382.0138901
2051,Misc,648483.3851497,6859405.3208398
2052,Misc,650340.7977427,6859895.2217677
