id,numpoints,X,Y
71,7,655022.8673081,6862573.1929509
72,5,650120.1697759,6865216.9926406
73,5,650090.7597103,6865351.1577025
74,6,650201.9387226,6865403.2988793
75,4,650132.7474019,6865578.6839695
76,5,650182.2838874,6865704.9036653
77,5,655106.2513037,6862270.5679640
78,3,652709.8335725,6859906.0564638
79,3,652199.9683771,6863482.9748067
80,3,652224.0508371,6864646.1889519
81,5,652184.5642524,6864766.8026396
82,6,655058.5967611,6862410.9304805
83,5,652174.4626265,6862319.7523422
84,3,652239.0953265,6862305.8549631
85,5,648372.2697098,6859135.0378218
86,5,654928.3534714,6861871.3275427
87,3,646347.3608266,6861423.9615788
88,4,652021.1900836,6863540.8610823
89,5,647533.7803788,6861286.0543506
90,3,647893.9988743,6859903.1758912
91,3,653914.6125995,6859737.3262476
92,4,645752.4760996,6860455.4774202
93,5,654977.0967992,6860542.0138771
94,3,654751.0137768,6862709.3721969
95,3,651583.2141066,6862723.6953522
96,4,646921.1423954,6862024.5079109
97,4,654809.9040219,6861501.4717534
98,10,651014.9044814,6863941.1716707
99,3,647272.8460337,6861038.1451289
100,3,652148.8680788,6861097.0367393
101,4,653737.9752202,6865236.5650654
102,4,651757.8196639,6863215.7845124
103,3,655351.0315858,6865411.2713794
104,5,646438.9336623,6860799.3111659
105,3,648726.0247633,6865763.7914785
106,12,648650.3367976,6865663.9376220
107,3,656836.8908402,6861067.5191020
108,5,654484.3351987,6858840.6754855
109,4,648645.9655148,6861560.5655535
110,3,651788.4937841,6862611.7516899
111,3,652568.2467386,6858149.2621652
112,4,652586.2718207,6861284.3967867
113,3,654987.9800053,6860245.7528039
114,5,648182.5599918,6864685.6572033
115,7,648267.0995603,6864749.4183946
116,3,648214.5165671,6864588.2510379
117,4,652089.0442294,6862316.5367166
118,5,648298.4766216,6865301.0173548
119,6,648327.3044404,6864264.4816691
120,4,656447.4053626,6860273.4481230
121,4,655611.8093981,6863036.1313797
122,3,649166.7317304,6858557.6411738
123,8,646622.5767725,6862649.4614840
124,3,646880.5034615,6862860.6198195
125,17,648222.6421900,6859266.0313934
126,6,648339.8272678,6859163.4928897
127,5,655540.3386563,6861274.4776600
128,5,649185.8343385,6860635.9290725
129,3,649169.9120325,6865418.0696509
130,3,649211.2139501,6860496.6644977
131,3,652117.9385857,6858051.5266690
132,6,649142.0975727,6860457.1162582
133,3,654600.9957735,6858912.2542405
134,10,653506.6992073,6861801.3660548
135,3,653321.2188811,6862612.4664064
136,3,649143.8279824,6860224.4842195
137,3,653449.7260653,6862350.6965895
138,6,654632.7207277,6860340.6075314
139,5,645486.4249138,6860227.9780303
140,5,655443.8787601,6864884.5103656
141,3,647701.3166333,6861319.3295487
142,7,655445.0031438,6864579.8734725
143,3,653437.6227658,6862147.9924649
144,7,655346.7707521,6864834.5136222
145,19,645629.7831930,6860184.1520596
146,20,649052.8867382,6860414.7261893
147,5,653299.2939713,6862303.5418262
148,10,655618.7857351,6863159.3546051
149,5,653354.7304928,6862430.3307884
150,7,653332.6663533,6862390.6749661
151,3,650467.3718763,6861286.2012278
152,15,650420.0734875,6861251.3420152
153,3,652383.8812924,6860785.1545428
154,6,647458.0188147,6861185.7181354
155,3,645568.9560780,6860007.7302161
156,4,655159.2480184,6864233.6166449
157,5,653260.3127919,6862461.0575692
158,3,653243.5882282,6865926.2086088
159,4,646509.7317922,6862423.5034080
160,3,651668.0242841,6865775.6143456
161,3,652370.7050972,6863517.5751277
162,8,650771.0313883,6860917.9195755
163,3,650309.5035285,6859487.9056098
164,3,647698.8006155,6860549.4850691
165,3,653100.5737960,6859296.5223357
166,4,648104.9326245,6864627.9832345
167,3,650400.9524471,6864747.3118108
168,5,652114.0237416,6858490.4755892
169,5,654340.7045666,6864826.4316816
170,5,654608.2739502,6863799.2251280
171,4,648056.3116537,6864707.9697222
172,4,650911.2377449,6858823.6638084
