id,numpoints,X,Y
197,1,629214.2363188,6875351.3576632
198,0,639141.1274457,6855740.8898251
199,22,639578.8495087,6856124.5242305
200,0,638849.3719073,6856045.8913237
201,0,639122.3119848,6855250.4354426
202,0,591593.2916291,6885213.6175843
203,20,641096.4165449,6869189.2831532
204,0,615819.3794928,6872709.7967993
205,1,615431.8884616,6875885.4346454
206,0,605548.3391120,6881160.9687680
207,1,640187.5921203,6869560.5554464
208,0,641253.5363348,6869597.6494101
209,0,641280.1091542,6870054.6534030
210,6,633502.5601662,6865133.6493800
211,20,634455.1761238,6867257.7475261
212,16,632877.8953878,6846071.2869978
213,0,603398.4954661,6840081.5751678
214,1,588945.9919926,6883412.5666593
215,0,616229.0496331,6873770.1322634
216,9,634911.7734896,6867098.6956360
217,3,623628.8413252,6848759.3929739
218,5,633083.1506528,6879022.1969265
219,0,634751.0672313,6877242.9326656
220,0,633476.4294898,6849155.1783452
221,0,636013.6924824,6853534.5098178
222,12,633586.7091758,6877355.0492410
223,0,632196.7776175,6844432.3792157
224,3,634356.2987382,6878056.9834597
225,18,633058.2384989,6877926.4743608
226,0,631152.5881079,6856025.3382642
227,0,631648.6969782,6857410.7330756
228,0,630960.3942804,6856517.7964820
229,0,631535.0502995,6856250.6992678
230,2,638422.4207620,6870506.0873533
231,17,638667.1770458,6869921.4510513
232,14,615152.9387552,6878489.0042475
233,3,626454.7546408,6871175.4761661
234,1,637106.9709397,6867348.5281102
235,13,636650.0787803,6867770.9102034
236,1,638847.2892409,6866613.0249985
237,2,637558.0939385,6865849.8986057
238,17,631296.8358711,6855370.8825433
239,0,630607.5729986,6856754.2014740
240,0,636757.8264594,6851697.9127400
241,0,630566.6258705,6855983.8271465
242,0,602919.5284151,6876855.8686115
243,2,622603.6004800,6880262.1033736
244,0,622321.7341610,6874788.9436348
245,19,627581.9010075,6859528.2736427
246,0,638695.0813871,6873253.5310677
247,37,635868.1367957,6865366.6369887
248,13,626214.5677966,6846337.7387825
249,0,639185.5644151,6873172.7402337
250,4,606178.7560084,6877278.6706931
251,0,605282.6366741,6878682.5862494
252,0,604306.9121424,6878491.9812403
253,0,604706.0549167,6879079.3857614
254,0,603818.1872251,6878764.5572192
255,31,617472.7676717,6874817.2868435
256,0,609933.4739842,6837705.7903518
257,114,632312.6515098,6864919.1103256
258,0,637578.2212133,6862728.5028916
259,9,635592.8891604,6860442.1999349
260,5,637814.8285501,6861669.5818711
261,3,637326.9766092,6861388.1078961
262,0,605621.9852072,6878043.0044990
263,0,604169.6649496,6879033.8093965
264,5,606178.8998994,6876904.1986569
265,0,604357.4704084,6877696.4218984
266,8,639038.4228951,6868569.2884675
267,11,640121.5713750,6867602.5057299
268,3,638826.9657980,6854036.0399673
269,0,641701.8055535,6853413.6729329
270,0,637361.3427289,6862233.5674696
271,0,636461.6159910,6861603.7787938
272,0,629147.5487852,6851263.1392189
273,0,630914.7750097,6851277.4845716
274,2,624454.9090391,6868971.8146473
275,0,620884.5386689,6881140.6434957
276,39,629529.9512274,6856114.6175541
277,0,620131.9330750,6850545.9041290
278,0,640769.6057318,6854768.8845397
279,0,640217.8549403,6854027.4747672
280,0,614743.3078261,6844713.0694658
281,0,640497.5124929,6855171.6567979
282,8,624407.2169413,6851816.4197661
283,14,624155.1368112,6853053.7355872
284,0,612313.9472439,6870956.8784474
285,0,607758.8332984,6873217.2493910
286,19,627668.4289853,6856183.4807875
287,10,627334.9329109,6856760.2044705
288,0,623278.1197562,6854249.6403222
289,0,622717.7247808,6852884.9942463
290,19,621765.8668068,6852071.7710955
291,3,620421.7328213,6853219.2177678
292,0,621273.6945992,6852193.1786706
293,26,622122.9249568,6851610.7031951
294,0,624458.7488157,6845332.5248264
295,2,614049.8231035,6874791.4050990
296,0,622764.5422295,6851932.9983728
297,5,630706.3017311,6878048.3382835
298,0,629847.9424837,6876976.9880839
299,0,617522.3473197,6870818.4407648
300,0,630423.8380141,6875754.2954478
301,0,631122.9714006,6876921.1413172
302,0,619925.6674041,6824380.5010118
303,0,621975.1641920,6853004.0078558
304,0,640470.6129527,6872385.6198558
305,0,641133.1201214,6871234.4021604
306,0,622511.1435684,6856332.7279020
307,0,619409.1805268,6881661.6742894
308,0,623257.3934778,6858449.1135178
309,0,623172.8325055,6859626.4964066
310,8,621350.8388527,6879470.3509690
311,4,620764.7598538,6879331.6065472
312,0,631072.3304790,6863471.1731681
313,12,620279.1130070,6879586.6263752
314,0,633652.2419890,6855239.3211824
315,0,633947.0614351,6857290.5314851
316,0,635075.9476008,6854256.9583499
317,0,602668.7887358,6873436.7122474
318,1,622409.7287163,6858765.7124478
319,3,622978.3135886,6858691.2204676
