id,numpoints,X,Y
120,9,655201.8493176,6863294.3984923
121,2,648543.1843111,6860330.9000714
122,11,648922.0657400,6860747.8997593
123,1,654265.0618512,6863685.3893106
124,6,655110.1872804,6863729.2617216
125,2,648724.5959177,6862291.7121157
126,3,648753.5631717,6862140.5679094
127,2,655220.3018491,6863240.3434085
128,1,651111.5742823,6861700.0807197
129,2,648784.4747090,6861273.2064537
130,5,654004.3069583,6863811.9276286
131,4,648832.9840793,6860918.5856362
132,1,655569.3905247,6863848.6386310
133,4,648843.9920666,6861947.2322357
134,1,655451.4630580,6863842.9960922
135,2,648804.5514239,6861908.3135378
136,7,655319.7953773,6863757.9160384
137,1,648665.3866814,6862048.4228837
138,7,649017.9451752,6862091.9942585
139,5,649185.6073367,6860633.6169708
140,8,648839.7861853,6860575.4441642
141,1,655043.0589778,6863780.4670944
142,12,648944.5672255,6860368.4424370
143,3,654647.2099342,6863727.4265595
144,1,649542.2780429,6860319.2532106
145,1,654746.3964717,6863702.3024893
146,1,649643.3845406,6860264.4669605
147,1,654754.8033215,6863668.6697630
148,3,654782.6834561,6862577.6093755
149,7,655223.3849248,6864791.9926914
150,1,655344.3123591,6864746.6147837
151,4,655329.8654629,6864834.3290090
152,2,655345.1852707,6864600.8316402
153,8,655465.9631234,6864745.5199132
154,1,649166.1746200,6860953.7501361
155,1,649224.9031123,6861001.5547979
156,1,656323.3538285,6860184.7145625
157,2,656358.3957432,6860378.4385297
158,1,655862.5320757,6863534.2058801
159,1,655194.9882712,6863449.8877220
160,3,655348.0607368,6863500.3407913
161,4,648648.0908843,6861559.1674597
162,1,655164.5461757,6863514.2236150
163,1,652124.0631203,6865760.9963174
164,1,648682.0492699,6861604.3916683
165,8,655119.2316831,6864117.3345819
166,3,654740.0940576,6864185.6001520
167,1,648683.9652608,6861379.0216942
168,2,648731.2219632,6861386.4699426
169,1,649023.6995104,6861074.9309923
170,16,655276.3111724,6863519.1766115
171,1,655471.2965821,6863359.4131245
172,12,655316.7172537,6864180.0731073
173,1,650746.5665340,6863017.5840165
174,1,650855.0860589,6862993.1564785
175,7,652207.9241645,6864963.3824111
176,1,649693.9286894,6859018.9784173
177,1,648974.8600558,6864136.4186098
178,1,648685.6393557,6864165.7695878
179,1,647541.3536485,6862685.2370451
180,5,651745.0207359,6864634.4488519
181,5,651853.5582629,6864321.9694079
182,1,648489.2540126,6863966.5778741
183,1,649273.8990290,6863445.7330797
184,2,648699.1792904,6864079.1767769
185,2,651765.3379149,6864082.7375052
186,4,651645.7058678,6864967.8720040
187,1,649775.7989861,6859169.6511457
188,1,649405.7181358,6859234.1355241
189,1,649908.4378559,6859150.6672721
190,1,649251.0104802,6859094.7075335
191,5,649754.6866123,6859072.1043566
192,2,649059.3596360,6859240.8110815
193,3,649107.6038587,6859305.1705389
194,2,647497.6953734,6862633.7179703
195,1,649320.5586483,6859165.2719076
196,1,645364.1410961,6860376.1020546
197,6,648923.3980715,6863333.6202418
198,2,649007.8778178,6863248.7087517
199,1,648943.1134023,6863166.0976810
200,1,648767.4113973,6863247.1211670
201,3,648778.4644058,6863482.6919717
202,10,648975.4774263,6863506.1272697
203,1,646543.4593498,6860972.1221933
204,2,654173.0146118,6859149.9083097
205,2,648508.2967138,6863158.9549476
206,3,654244.4389072,6859018.5624285
207,4,655011.4383018,6864279.2611722
208,3,648387.1043998,6863259.1501122
209,1,656716.9891092,6860851.0858075
210,1,648630.7788515,6864548.7611493
211,1,656446.9827786,6861915.2424986
212,3,648929.3302860,6864023.0821723
213,2,654614.6606937,6858645.2145238
214,1,656693.8199849,6863311.5892409
215,2,648352.1894679,6864600.6899864
216,1,648395.9796252,6864384.8638540
217,2,648833.9979781,6863244.4371109
218,1,651196.3999384,6865709.7610479
219,1,648868.1850846,6863280.1481667
220,3,648818.6816936,6864503.9036030
221,2,648879.9440922,6864649.3425611
222,2,653222.1196129,6858446.0892159
223,3,649694.3490973,6864348.9003360
224,1,653537.6480466,6859656.3427100
225,1,648267.8182000,6863716.5477843
226,2,648319.0662349,6863135.7684274
227,4,648735.1441563,6864653.7721134
228,2,648786.3559612,6864680.7045647
229,1,653680.2974201,6859252.2437307
230,1,652108.2012489,6859025.4653759
231,2,648314.6345213,6864191.7360197
232,1,648295.6562507,6859169.4819676
233,1,646020.4356624,6862236.8300327
234,6,654796.9498049,6866260.1840737
235,1,648298.4900541,6864550.5081706
236,2,646473.0553425,6861183.1837824
237,1,646493.9128045,6861222.0872765
238,4,654674.2694885,6866338.9424924
239,1,648488.3117872,6859058.7630315
240,4,653871.6946072,6862508.1594426
241,1,648624.5553147,6864788.6683321
