id,numpoints,X,Y
1720,12,650196.7576276,6860634.1298766
1721,1,655735.7153935,6863811.3415134
1722,10,655946.0011436,6861610.7948789
1723,2,655911.3330851,6861412.4916327
1724,3,656001.5791538,6861509.6431084
1725,2,652567.4587966,6862380.0866855
1726,1,654434.0945594,6861333.6910113
1727,2,649388.3712164,6859604.4618150
1728,9,654474.1742848,6863421.8528026
1729,2,650683.0607685,6861607.4792572
1730,1,656273.9158131,6862291.8243171
1731,3,654651.6563642,6863727.4011252
1732,5,650004.9859614,6860627.7330725
1733,1,656338.5342057,6863231.6945116
1734,1,656343.8596570,6863157.3412773
1735,2,655145.7740743,6863079.7349648
1736,1,656404.5663233,6861181.3283779
1737,3,656037.8890070,6861206.9843573
1738,6,654740.6024450,6863328.9595245
1739,8,654664.8926513,6863393.9136384
1740,7,650512.4182894,6861085.7095928
1741,7,654622.9454313,6861174.4993989
1742,2,654711.5877619,6863064.7899622
1743,5,654636.1113391,6863502.3462025
1744,3,656093.8940270,6862053.4499653
1745,4,648190.6259903,6859688.8584595
1746,9,655216.0999361,6863667.9613029
1747,2,648087.7202091,6859769.0583884
1748,3,650754.4007328,6863746.6501536
1749,2,655166.9544205,6863570.5967900
1750,6,650831.3818192,6863680.8334751
1751,1,655262.6271089,6862909.1945841
1752,1,655085.2637641,6862886.0154692
1753,2,653896.9747982,6862460.4911764
1754,1,655128.7057684,6862896.3552197
1755,11,655120.4436255,6863132.6983385
1756,8,655105.1579408,6863241.3241330
1757,1,655482.6357140,6862973.2887978
1758,2,655228.3211971,6862800.8174933
1759,3,654656.7329537,6863600.9553150
1760,1,655698.5862835,6859966.0495197
1761,6,649889.7418413,6864879.4904613
1762,8,650964.6641675,6858902.0167041
1763,1,650931.3623742,6858947.7954744
1764,4,650863.2382291,6858584.8708195
1765,1,655703.0380276,6860047.9818836
1766,2,654603.3025094,6861630.9286001
1767,1,655680.6342849,6861900.4632241
1768,3,655646.6642872,6863750.7107697
1769,2,654513.9696775,6861615.7015393
1770,1,651414.8231230,6859490.9698473
1771,1,652305.1327577,6862673.6321232
1772,1,651349.0219818,6859328.0985961
1773,4,651705.9281690,6859077.4547697
1774,1,656420.0813469,6860334.6873029
1775,4,650484.7828496,6860151.3415278
1776,1,651304.5069152,6858637.2482717
1777,2,651944.2054998,6862261.0775509
1778,1,654480.3886950,6859089.8029613
1779,4,651707.7693640,6862561.9176596
1780,3,655036.1169584,6863971.6461795
1781,4,655127.5037685,6864083.1972115
1782,1,655354.3263043,6862763.2267068
1783,3,651477.6576918,6859429.5975525
1784,1,652083.5599451,6862467.4354674
1785,4,650040.0832929,6864663.3641473
1786,1,654716.5020318,6860859.2140114
1787,1,655036.0113880,6865010.8598798
1788,3,652257.7439497,6866892.5364307
1789,3,651118.6357768,6865223.4496131
1790,3,654414.7863806,6865134.3511609
1791,9,650963.1505548,6859017.1642608
1792,2,651243.3046326,6863165.7103225
1793,4,655151.1016060,6863669.4078555
1794,2,651064.2993772,6859088.8396845
1795,2,651056.1818750,6859028.2608725
1796,3,650495.5385109,6861884.9412143
1797,1,650960.6850400,6862157.5540341
1798,3,651019.2754885,6860560.1121253
1799,1,651069.3197287,6861782.2624993
1800,3,649970.4169264,6860213.8392984
1801,1,651475.4734120,6863947.7526639
1802,1,649025.2818669,6861074.2598781
1803,1,651487.6817509,6861733.7011244
1804,4,649727.2144775,6860534.3332695
1805,2,654507.9568981,6862353.7462570
1806,1,654463.8083148,6862249.7208365
1807,3,654530.5191003,6861501.1666954
1808,2,651387.9362760,6861809.9565377
1809,6,654464.9442718,6861509.2579729
1810,1,651676.0546282,6866067.2065722
1811,7,654502.3771998,6861384.7449508
1812,2,651528.1861750,6864973.5314210
1813,2,651451.1385763,6864990.6641351
1814,9,649997.2934713,6860223.7965523
1815,3,655162.1074736,6863976.9860971
1816,1,654399.4625099,6862515.2346576
1817,1,654582.6209595,6862443.5100639
1818,1,654471.8355675,6862488.9235547
1819,1,651567.4281985,6865251.7320643
1820,2,651414.1000000,6865267.9333333
1821,1,651605.3757602,6866189.6322655
1822,3,651528.8408862,6865585.4032665
1823,1,653755.2154561,6858115.4799691
1824,2,651649.6587050,6866361.7354569
1825,5,652490.8514170,6859800.2039799
1826,4,651343.0152130,6865191.5773910
1827,5,652595.7081489,6859866.8133348
1828,2,651276.0086285,6865232.1495956
1829,1,653311.5739637,6862867.9710731
1830,6,651358.0046097,6865264.3067580
1831,2,651178.1955658,6860341.4831918
1832,1,653886.6944472,6858875.8458362
1833,2,651718.2693349,6864562.8562302
1834,2,651634.8702503,6864533.9639045
1835,3,651642.0289287,6865136.3500947
1836,1,649952.9177825,6862653.4436402
1837,1,652152.0501410,6864023.5147351
1838,5,646252.8309114,6860553.6651534
1839,11,655194.3927183,6863297.5266212
1840,18,646159.8436824,6860528.2643924
1841,2,654873.8414737,6861394.4809857
1842,2,651857.5680127,6864068.4742483
1843,1,654831.1013020,6860555.0192040
1844,2,653879.2214133,6864785.2762306
1845,1,651599.3848699,6863924.7176624
1846,2,651960.5457529,6863762.6853035
1847,2,653512.3583025,6863129.3691125
1848,1,651646.3180532,6865066.3927368
1849,2,651881.1256791,6863779.2379260
1850,1,649588.3784091,6861478.1148691
1851,1,651690.5581476,6864019.5918011
1852,2,653436.1954086,6859363.6666586
1853,2,651780.8791350,6864086.1089599
1854,3,655924.5227105,6864483.4110123
1855,6,655887.5837603,6864231.9096763
1856,2,655376.5684790,6864934.5917042
1857,1,651951.7470251,6864086.4255932
1858,2,654385.2261870,6865222.0944150
1859,2,651925.2358179,6865047.3350413
1860,1,651957.0299992,6865110.8615845
1861,5,654308.0787202,6864296.3067964
1862,1,654420.5564511,6864280.9188401
1863,2,651383.7662942,6865023.6735803
1864,1,653457.8427803,6866228.7372747
1865,2,652404.7365355,6863850.2500284
1866,1,653369.2210238,6862845.1285166
1867,1,653572.8480867,6863062.1063771
1868,1,651200.6266228,6863077.3333498
1869,1,654875.4077921,6863451.5994153
1870,2,645883.1012673,6861468.7949743
1871,1,654806.1791546,6865926.6737907
1872,4,651207.6868861,6865367.6196427
1873,10,654754.1863415,6861836.9481179
1874,1,651196.6172715,6858845.2248448
1875,1,656804.9219018,6861700.2052881
1876,5,655143.6716562,6861090.2456738
1877,1,651178.8705923,6858995.7453907
1878,1,656231.4367672,6862737.3092072
1879,1,655918.4048067,6863463.3376367
1880,1,656023.1218811,6863337.5388921
1881,2,650195.3238173,6859818.1495326
1882,2,650196.2391133,6859327.2378372
1883,1,650132.6962605,6859224.8048554
1884,1,649444.6242393,6865094.1183117
1885,2,651574.5976657,6863812.4257649
1886,2,650058.5666882,6864108.5366324
1887,6,655925.2270763,6862705.6737069
1888,1,653383.7059454,6863035.0086185
1889,1,650288.3567443,6862376.4721357
1890,4,650199.2813716,6862261.0027658
1891,1,650274.3706528,6862466.9964423
1892,4,654312.6729434,6865975.8958276
1893,1,650193.5471112,6864670.7578336
1894,1,649843.6012401,6858929.9836384
1895,2,650261.2172206,6859868.1458241
1896,2,650091.0757663,6865084.9682969
1897,1,654907.9324817,6860568.6091254
1898,1,650202.8471036,6859716.4567155
1899,2,650248.1134809,6859682.5727126
1900,1,654548.1791246,6865275.3156947
1901,5,650120.1697759,6865216.9926406
1902,3,654619.0342241,6865307.8567498
1903,2,650044.5494787,6865301.6063536
1904,3,653206.9671061,6859596.9132368
1905,5,650090.7597103,6865351.1577025
1906,4,653139.7339352,6859550.4667873
1907,2,654551.2107701,6860867.8494341
1908,1,650120.7715564,6865392.9338916
1909,2,649278.4854925,6865349.2214687
1910,2,654579.5367772,6863470.0496202
1911,6,650201.9387226,6865403.2988793
1912,1,649398.5449397,6865458.9820737
1913,7,655022.8673081,6862573.1929509
1914,4,650132.7474019,6865578.6839695
1915,2,655145.5907602,6861799.0713847
1916,5,650182.2838874,6865704.9036653
1917,1,650142.0910388,6865774.5027967
1918,4,654627.8581050,6863452.2224832
1919,1,654027.1522826,6865070.7868574
1920,3,652199.9683771,6863482.9748067
1921,1,649704.8514312,6859852.2932146
1922,2,652229.5313156,6863478.9425981
1923,5,655106.2513037,6862270.5679640
1924,1,652152.0432145,6859542.3917332
1925,1,651948.6712922,6863237.0713293
1926,1,652076.6712760,6863299.7204023
1927,1,654142.7307749,6864141.4248862
1928,1,654121.2131319,6864248.0282621
1929,2,655028.8057869,6861990.3276952
1930,6,655058.5967611,6862410.9304805
1931,1,654926.1170544,6862479.3159778
1932,2,652059.4784858,6862223.3394740
1933,1,655017.5145411,6861156.9945213
1934,1,651904.5769644,6863444.8072347
1935,4,652021.1900836,6863540.8610823
1936,2,654844.9627331,6861969.1603935
1937,5,652174.4626265,6862319.7523422
1938,2,651982.0219013,6862299.5341354
1939,3,652239.0953265,6862305.8549631
1940,5,654928.3534714,6861871.3275427
1941,1,652105.4530763,6862667.3129910
1942,2,645506.4519142,6860682.6471975
1943,1,652037.5002072,6864217.6737640
1944,1,654699.8633068,6858916.8043621
1945,2,651996.1971872,6859954.5279767
1946,3,646347.3608266,6861423.9615788
1947,1,646168.8160527,6861371.6539842
1948,1,651982.0688426,6860538.5991616
1949,2,651909.7449289,6863384.1512672
1950,1,656359.1210657,6859525.6763001
1951,1,652096.0818538,6865489.6254356
1952,2,652030.8400958,6865328.8944820
1953,1,645644.4175017,6860994.4493839
1954,1,653857.9516530,6859817.8535139
1955,1,652032.8159221,6865387.9736084
1956,3,653914.6125995,6859737.3262476
1957,1,652019.2394503,6865634.6225708
1958,2,651629.0032222,6862758.9838320
1959,5,654977.0967992,6860542.0138771
1960,1,654782.1330463,6863956.5406463
1961,2,648228.7186275,6863755.6438598
1962,1,654386.1892150,6858538.5548153
1963,3,651583.2141066,6862723.6953522
1964,1,650461.3879458,6862033.2069970
1965,1,651296.3428409,6862814.3661590
1966,1,652122.7141859,6862729.7423892
