DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS,ORIGINE,NUMPOINTS,X,Y
88,75105,PARIS 5E ARRONDISSEMENT,1903,751051903,VAL DE GRACE 3,H,,5,651469.6724046,6860226.9619093
89,75105,PARIS 5E ARRONDISSEMENT,1904,751051904,VAL DE GRACE 4,H,,2,651554.3098716,6860460.7717759
90,75105,PARIS 5E ARRONDISSEMENT,1905,751051905,VAL DE GRACE 5,H,,0,651644.4513181,6860772.2092001
91,75105,PARIS 5E ARRONDISSEMENT,1906,751051906,VAL DE GRACE 6,H,,2,651805.1699556,6860594.3977249
92,75105,PARIS 5E ARRONDISSEMENT,1907,751051907,VAL DE GRACE 7,H,,9,652018.4947862,6860483.7684965
93,75105,PARIS 5E ARRONDISSEMENT,1908,751051908,VAL DE GRACE 8,H,,8,652196.9085633,6860341.4933301
94,75105,PARIS 5E ARRONDISSEMENT,2001,751052001,SORBONNE 1,H,,14,652098.7703978,6860894.6072423
95,75105,PARIS 5E ARRONDISSEMENT,2002,751052002,SORBONNE 2,H,,0,651782.8149523,6861035.8811935
96,75105,PARIS 5E ARRONDISSEMENT,2003,751052003,SORBONNE 3,H,,1,651914.4239990,6861489.6833275
97,75105,PARIS 5E ARRONDISSEMENT,2004,751052004,SORBONNE 4,H,,16,652107.6848485,6861375.4517862
98,75105,PARIS 5E ARRONDISSEMENT,2005,751052005,SORBONNE 5,A,,1,651922.9906925,6861107.7983679
99,75105,PARIS 5E ARRONDISSEMENT,2099,751052099,SEINE ET BERGES,D,,0,652089.8529553,6861630.9735666
100,75106,PARIS 6E ARRONDISSEMENT,2101,751062101,MONNAIE 1,H,,17,651632.7553318,6861567.0069983
101,75106,PARIS 6E ARRONDISSEMENT,2102,751062102,MONNAIE 2,H,,6,651434.0236121,6861944.4005345
102,75106,PARIS 6E ARRONDISSEMENT,2103,751062103,MONNAIE 3,H,,2,651667.6671334,6861770.5352945
103,75106,PARIS 6E ARRONDISSEMENT,2199,751062199,SEINE ET BERGES,D,,0,651581.1731933,6862024.2264395
104,75106,PARIS 6E ARRONDISSEMENT,2201,751062201,ODEON 1,H,,6,651233.6710089,6860609.2958936
105,75106,PARIS 6E ARRONDISSEMENT,2202,751062202,ODEON 2,H,,10,651159.6520788,6861322.1588734
106,75106,PARIS 6E ARRONDISSEMENT,2203,751062203,ODEON 3,H,,16,651224.9524019,6861539.6031428
107,75106,PARIS 6E ARRONDISSEMENT,2204,751062204,ODEON 4,H,,2,651552.6944707,6861297.7648653
108,75106,PARIS 6E ARRONDISSEMENT,2205,751062205,JARDIN DU LUXEMBOURG,D,,0,651294.3064155,6860937.4590833
109,75106,PARIS 6E ARRONDISSEMENT,2301,751062301,NOTRE DAME DES CHAMPS 1,H,,4,651117.6557572,6860335.8907366
110,75106,PARIS 6E ARRONDISSEMENT,2302,751062302,NOTRE DAME DES CHAMPS 2,H,,3,651033.0048339,6860539.6093815
111,75106,PARIS 6E ARRONDISSEMENT,2303,751062303,NOTRE DAME DES CHAMPS 3,H,,1,650854.9372367,6860685.2322989
112,75106,PARIS 6E ARRONDISSEMENT,2304,751062304,NOTRE DAME DES CHAMPS 4,H,,34,650835.7990200,6860981.9952410
113,75106,PARIS 6E ARRONDISSEMENT,2305,751062305,NOTRE DAME DES CHAMPS 5,H,,19,650622.3503110,6860720.7323792
114,75106,PARIS 6E ARRONDISSEMENT,2306,751062306,NOTRE DAME DES CHAMPS 6,H,,8,650284.7543796,6860829.6357019
115,75106,PARIS 6E ARRONDISSEMENT,2307,751062307,NOTRE DAME DES CHAMPS 7,H,,13,650464.8682715,6861008.7259516
